Word,Count,Senses,Definition,Example 1,Example 2,Example 3,Example 4
explicit,8,,precisely and clearly expressed or readily observable,leaving nothing to implication,explicit instructions,she made her wishes explicit,explicit sexual scenes
exploratory,11,,serving in or intended for exploration or discovery,an exploratory operation,exploratory reconnaissance,digging an exploratory well in the Gulf of Mexico,exploratory talks between diplomats
explosive,9,,serving to explode or characterized by explosion or sudden outburst,an explosive device,explosive gas,explosive force,explosive violence
extensive,9,,large in spatial extent or range or scope or quantity,an extensive Roman settlement in northwest England,extended farm lands,surgeons with extended experience,they suffered extensive damage
extinct,7,nonextant,no longer in existence,lost or especially having died out leaving no living representatives,an extinct species of fish,an extinct royal family,extinct laws and customs
extraordinary,13,,beyond what is ordinary or usual,highly unusual or exceptional or remarkable,extraordinary authority,an extraordinary achievement,her extraordinary beauty
extreme,7,,of the greatest possible degree or extent or intensity,extreme cold,extreme caution,extreme pleasure,utmost contempt
extreme,7,,far beyond a norm in quantity or amount or degree,to an utmost degree,an extreme example,extreme temperatures,extreme danger
extreme,7,,beyond a norm in views or actions,an extreme conservative,an extreme liberal,extreme views on integration,extreme opinions
extrinsic,9,,not forming an essential part of a thing or arising or originating from the outside,extrinsic evidence,an extrinsic feature of the new building,that style is something extrinsic to the subject,looking for extrinsic aid
exuberant,9,lush|luxuriant|profuse,produced or growing in extreme abundance,,,,
faineant,8,,disinclined to work or exertion,faineant kings under whose rule the country languished,an indolent hanger-on,too lazy to wash the dishes,shiftless idle youth
faint,5,,deficient in magnitude,barely perceptible,lacking clarity or brightness or loudness etc,a faint outline,the wan sun cast faint shadows
faint,5,,lacking strength or vigor,damning with faint praise,faint resistance,feeble efforts,a feeble voice
faint,5,,weak and likely to lose consciousness,suddenly felt faint from the pain,was sick and faint from hunger,felt light in the head,a swooning fit
fair,4,just,free from favoritism or self-interest or bias or deception,conforming with established standards or rules,a fair referee,fair deal,on a fair footing
fake,4,,not genuine or real,being an imitation of the genuine article,it isn't fake anything; it's real synthetic fur,faux pearls,false teeth
familiar,8,,within normal everyday experience,common and ordinary,not strange,familiar ordinary objects found in every home,a familiar everyday scene
famished,8,,extremely hungry,they were tired and famished for food and sleep,a ravenous boy,the family was starved and ragged,fell into the esurient embrance of a predatory enemy
fanciful,8,,not based on fact,existing only in the imagination,the falsehood about some fanciful secret treaties- F.D.Roosevelt,a small child's imaginary friends,to create a notional world for oneself
fantastic,9,,extraordinarily good or great,used especially as intensifiers,a fantastic trip to the Orient,the film was fantastic!,a howling success
far,3,,located at a great distance in time or space or degree,we come from a far country,far corners of the earth,the far future,a far journey
faraway,7,,very far away in space or time,faraway mountains,the faraway future,troops landing on far-off shores,far-off happier times
farthermost,11,,,(comparatives of `far') most remote in space or time or order,had traveled to the farthest frontier,don't go beyond the farthermost (or furthermost) tree,explored the furthest reaches of space
fast,4,,acting or moving or capable of acting or moving quickly,fast film,on the fast track in school,set a fast pace,a fast car
fastidious,10,,giving careful attention to detail,hard to please,excessively concerned with cleanliness,a fastidious and incisive intellect,fastidious about personal cleanliness
fastidious,10,exacting,,having complicated nutritional requirements,especially growing only in special artificial cultures,fastidious microorganisms,certain highly specialized xerophytes are extremely exacting in their requirements
fat,3,,marked by great fruitfulness,fertile farmland,a fat land,a productive vineyard,rich soil
faultless,9,,without fault or error,faultless logic,speaks impeccable French,timing and technique were immaculate,an immaculate record
faulty,6,,characterized by errors,not agreeing with a model or not following established rules,he submitted a faulty report,an incorrect transcription,the wrong side of the road
favorable,9,favourable,encouraging or approving or pleasing,a favorable reply,he received a favorable rating,listened with a favorable ear,made a favorable impression
federal,7,,national,especially in reference to the government of the United States as distinct from that of its member units,the Federal Bureau of Investigation,federal courts,the federal highway program
fetching,8,,very attractive,capturing interest,a fetching new hairstyle,something inexpressibly taking in his manner,a winning personality
few,3,,a quantifier that can be used with count nouns and is often preceded by `a',a small but indefinite number,a few weeks ago,a few more wagons than usual,an invalid's pleasures are few and far between
fewer,5,,,(comparative of `few' used with count nouns) quantifier meaning a smaller number of,fewer birds came this year,the birds are fewer this year,fewer trains were late
fiddling,8,,,a   a   a(informal) small and of little importance,a fiddling sum of money,a footling gesture,our worries are lilliputian compared with those of countries that are at war
fierce,6,,marked by extreme intensity of emotions or convictions,inclined to react violently,fervid,fierce loyalty,in a tearing rage
filled,6,,,(usually followed by `with' or used as a combining form) generously supplied with,theirs was a house filled with laughter,a large hall filled with rows of desks,fog-filled air
filthy,6,,disgustingly dirty,filled or smeared with offensive matter,as filthy as a pigsty,a foul pond,a nasty pigsty of a room
fine,4,,characterized by elegance or refinement or accomplishment,fine wine,looking fine in her Easter suit,a fine gentleman,fine china and crystal
fine,4,,of textures that are smooth to the touch or substances consisting of relatively small particles,wood with a fine grain,fine powdery snow,fine rain,batiste is a cotton fabric with a fine weave
fine-looking,12,,pleasing in appearance especially by reason of conformity to ideals of form and proportion,a fine-looking woman,a good-looking man,better-looking than her sister,very pretty but not so extraordinarily handsome- Thackeray
fingered,8,,having or resembling a finger or fingers,often used in combination,the fingered roots of giant trees,rosy-fingered,three-fingered cartoon characters
firm,4,,unwavering in devotion to friend or vow or cause,a firm ally,loyal supporters,the true-hearted soldier...of Tippecanoe- Campaign song for William Henry Harrison,fast friends
firm,4,,marked by firm determination or resolution,not shakable,firm convictions,a firm mouth,steadfast resolve
first,5,,preceding all others in time or space or degree,the first house on the right,the first day of spring,his first political race,her first baby
first,5,,,highest in pitch or chief among parts or voices or instruments or orchestra sections,first soprano,the first violin section,played first horn
fishy,5,,,not as expected,there was something fishy about the accident,up to some funny business,some definitely queer goings-on
fit,3,,meeting adequate standards for a purpose,a fit subject for discussion,it is fit and proper that you be there,water fit to drink,fit for duty
fit(p),6,,(usually followed by `to' or `for') on the point of or strongly disposed,in no fit state to continue,fit to drop,laughing fit to burst,she was fit to scream
flat,4,,having a surface without slope tilt in which no part is higher or lower than another,a flat desk,acres of level farmland,a plane surface,skirts sewn with fine flat seams
fleet,5,,moving very fast,fleet of foot,the fleet scurrying of squirrels,a swift current,swift flight of an arrow
fleeting,8,,lasting for a markedly brief time,a fleeting glance,fugitive hours,rapid momentaneous association of things that meet and pass,a momentary glimpse
flimsy,6,fragile,lacking substance or significance,slight evidence,a tenuous argument,a thin plot,a fragile claim to fame
flyblown,8,,foul and run-down and repulsive,a flyblown bar on the edge of town,a squalid overcrowded apartment in the poorest part of town,squalid living conditions,sordid shantytowns
flying,6,,hurried and brief,paid a flying visit,took a flying glance at the book,a quick inspection,a fast visit
following,9,next,immediately following in time or order,the following day,next in line,the next president,the next item on the list
foolhardy,9,,marked by defiant disregard for danger or consequences,foolhardy enough to try to seize the gun from the hijacker,became the fiercest and most reckless of partisans-Macaulay,a reckless driver,a rash attempt to climb Mount Everest
forceful,8,,characterized by or full of force or strength (often but not necessarily physical),a forceful speaker,a forceful personality,forceful measures,a forceful plan for peace
formal,6,,being in accord with established forms and conventions and requirements (as e.g. of formal dress),pay one's formal respects,formal dress,a formal ball,the requirement was only formal and often ignored
formidable,10,,extremely impressive in strength or excellence,a formidable opponent,the challenge was formidable,had a formidable array of compositions to his credit,the formidable army of brains at the Prime Minister's disposal
foster,6,,providing or receiving nurture or parental care though not related by blood or legal ties,foster parent,foster child,foster home,surrogate father
frantic,7,,excessively agitated,distraught with fear or other violent emotion,frantic with anger and frustration,frenetic screams followed the accident,a frenzied look in his eye
free,4,,,,c 06100457 n 0000 ! 01062553 a 0101 & 01062349 a 0000 & 01062455 a 0000 | unconstrained or not chemically bound in a molecule or not fixed and capable of relatively unrestricted motion,free expansion,free oxygen
free,4,,not limited or hampered,not under compulsion or restraint,free enterprise,a free port,a free country
frenzied,8,,affected with or marked by frenzy or mania uncontrolled by reason,a frenzied attack,a frenzied mob,the prosecutor's frenzied denunciation of the accused- H.W.Carter,outbursts of drunken violence and manic activity and creativity
fresh,5,,improperly forward or bold,don't be fresh with me,impertinent of a child to lecture a grownup,an impudent boy given to insulting strangers,Don't get wise with me!
friendly,8,,characteristic of or befitting a friend,friendly advice,a friendly neighborhood,the only friendly person here,a friendly host and hostess
friendly,8,,,easy to understand or use,user-friendly computers,a consumer-friendly policy,a reader-friendly novel
friendly,8,,inclined to help or support,not antagonistic or hostile,a government friendly to our interests,well disposed to the good order and happiness of the United States,a relaxed environment well-disposed to the appreciation of good food and fine wine
frigid,6,,devoid of warmth and cordiality,expressive of unfriendliness or disdain,a frigid greeting,got a frosty reception,a frozen look on their faces
frowsy,6,,negligent of neatness especially in dress and person,habitually dirty and unkempt,filled the door with her frowzy bulk,frowzy white hair,slovenly appearance
frozen,6,,turned into ice,affected by freezing or by long and severe cold,the frozen North,frozen pipes,children skating on a frozen brook
full,4,,containing as much or as many as is possible or normal,a full glass,a sky full of stars,a full life,the auditorium was full to overflowing
full-bodied,11,,marked by richness and fullness of flavor,a rich ruby port,full-bodied wines,a robust claret,the robust flavor of fresh-brewed coffee
full-length,11,uncut,complete,,,,
functional,10,,fit or ready for use or service,the toaster was still functional even after being dropped,the lawnmower is a bit rusty but still usable,an operational aircraft,the dishwasher is now in working order
fundamental,11,,being or involving basic facts or principles,the fundamental laws of the universe,a fundamental incompatibility between them,these rudimentary truths,underlying principles
fundamental,11,,far-reaching and thoroughgoing in effect especially on the nature of something,the fundamental revolution in human values that has occurred,the book underwent fundamental changes,committed the fundamental error of confusing spending with extravagance,profound social changes
further,7,,more distant in especially degree,nothing could be further from the truth,further from our expectations,farther from the truth,farther from our expectations
furtive,7,,marked by quiet and caution and secrecy,taking pains to avoid being observed,a furtive manner,a sneak attack,stealthy footsteps
futile,6,,producing no result or effect,a futile effort,the therapy was ineffectual,an otiose undertaking,an unavailing attempt
gallant,7,,having or displaying great dignity or nobility,a gallant pageant,lofty ships,majestic cities,proud alpine peaks
gawky,5,,lacking grace in movement or posture,a gawky lad with long ungainly legs,clumsy fingers,what an ungainly creature a giraffe is,heaved his unwieldy figure out of his chair
gay,3,jocund,full of or showing high-spirited merriment,when hearts were young and gay,"a poet could not but be gay, in such a jocund company- Wordsworth",the jolly crowd at the reunion,jolly old Saint Nick
general,7,,applying to all or most members of a category or group,the general public,general assistance,a general rule,in general terms
gentle,6,,having or showing a kindly or tender nature,the gentle touch of her hand,her gentle manner was comforting,a gentle sensitive nature,gentle blue eyes
gentle,6,,soft and mild,not harsh or stern or severe,a gentle reprimand,a vein of gentle irony,poked gentle fun at him
genuine,7,,not pretended,sincerely felt or expressed,genuine emotion,her interest in people was unfeigned,true grief
geomorphologic,14,,,\      \pertaining to geological structure,geomorphological features of the Black Hills,morphological features of granite,structural effects of folding and faulting of the earth's surface
ghastly,7,,shockingly repellent,inspiring horror,ghastly wounds,the grim aftermath of the bombing,the grim task of burying the victims
gigantic,8,mammoth,so exceedingly large or extensive as to suggest a giant or mammoth,a gigantic redwood,gigantic disappointment,a mammoth ship,a mammoth multinational corporation
gilded,6,,based on pretense,deceptively pleasing,the gilded and perfumed but inwardly rotten nobility,meretricious praise,a meretricious argument
glabrous,8,,,having no hair or similar growth,smooth,glabrous stems,glabrous leaves
glad,4,,showing or causing joy and pleasure,especially made happy,glad you are here,glad that they succeeded,gave a glad shout
glassy,6,,,(of ceramics) having the surface made shiny and nonporous by fusing a vitreous solution to it,glazed pottery,glassy porcelain,hard vitreous china used for plumbing fixtures
glistening,10,,reflecting light,glistening bodies of swimmers,the horse's glossy coat,lustrous auburn hair,saw the moon like a shiny dime on a deep blue velvet carpet
global,6,,involving the entire earth,not limited or provincial in scope,global war,global monetary policy,neither national nor continental but planetary
gloomy,6,,filled with melancholy and despondency,gloomy at the thought of what he had to face,gloomy predictions,a gloomy silence,took a grim view of the economy
glorious,8,,having great beauty and splendor,a glorious spring morning,a glorious sunset,splendid costumes,a kind of splendiferous native simplicity
gluttonous,10,,given to excess in consumption of especially food or drink,a gluttonous debauch,a gluttonous appetite for food and praise and pleasure,,
godforsaken,11,,located in a dismal or remote area,desolate,a desert island,a godforsaken wilderness crossroads,a wild stretch of land
gold,4,,made from or covered with gold,gold coins,the gold dome of the Capitol,the golden calf,gilded icons
good,4,,resulting favorably,it's a good thing that I wasn't there,it is good that you stayed,it is well that no one saw you,all's well that ends well
good,4,,having desirable or positive qualities especially those suitable for a thing specified,good news from the hospital,a good report card,when she was good she was very very good,a good knife is one good for cutting
good,4,,tending to promote physical well-being,beneficial to health,beneficial effects of a balanced diet,a good night's sleep,the salutary influence of pure air
good-for-nothing,16,,without merit,of little or no value or use,a sorry horse,a sorry excuse,"a lazy no-count, good-for-nothing goldbrick"
goodly,6,,large in amount or extent or degree,it cost a considerable amount,a goodly amount,received a hefty bonus,a respectable sum
goofy,5,,,"ludicrous, foolish",wore a goofy hat,a silly idea,some wacky plan for selling more books
grandiloquent,13,,puffed up with vanity,a grandiloquent and boastful manner,overblown oratory,a pompous speech,pseudo-scientific gobbledygook and pontifical hooey- Newsweek
graphic,7,,evoking lifelike images within the mind,pictorial poetry and prose,graphic accounts of battle,a lifelike portrait,a vivid description
grave,5,,of great gravity or crucial import,requiring serious thought,grave responsibilities,faced a grave decision in a time of crisis,a grievous fault
grave,5,,dignified and somber in manner or character and committed to keeping promises,a grave God-fearing man,a quiet sedate nature,as sober as a judge,a solemn promise
great,5,,relatively large in size or number or extent,larger than others of its kind,a great juicy steak,a great multitude,the great auk
greedy,6,,wanting to eat or drink more than one can reasonably consume,,,,
green,5,,of the color between blue and yellow in the color spectrum,similar to the color of fresh grass,a green tree,green fields,green paint
green,5,,not fully developed or mature,not ripe,unripe fruit,fried green tomatoes,green wood
grievous,8,,causing or marked by grief or anguish,a grievous loss,a grievous cry,her sigh was heartbreaking,the heartrending words of Rabin's granddaughter
grim,4,,not to be placated or appeased or moved by entreaty,grim determination,grim necessity,"Russia's final hour, it seemed, approached with inexorable certainty",relentless persecution
gruff,5,,deep and harsh sounding as if from shouting or illness or emotion,gruff voices,the dog's gruff barking,hoarse cries,makes all the instruments sound powerful but husky- Virgil Thomson
gutsy,5,,marked by courage and determination in the face of difficulties or danger,robust and uninhibited,you have to admire her; it was a gutsy thing to do,the gutsy...intensity of her musical involvement-Judith Crist,a gutsy red wine
half-length,11,,abridged to half its original length,,,,
handy,5,ready to hand(p),easy to reach,,,,
haphazard,9,,marked by great carelessness,a most haphazard system of record keeping,slapdash work,slipshod spelling,sloppy workmanship
hapless,7,,deserving or inciting pity,a hapless victim,miserable victims of war,the shabby room struck her as extraordinarily pathetic- Galsworthy,piteous appeals for help
hard,4,,very strong or vigorous,strong winds,a hard left to the chin,a knockout punch,a severe blow
hardheaded,10,,guided by practical experience and observation rather than theory,a hardheaded appraisal of our position,a hard-nosed labor leader,completely practical in his approach to business,not ideology but pragmatic politics
hardy,5,,having rugged physical strength,inured to fatigue or hardships,hardy explorers of northern Canada,proud of her tall stalwart son,stout seamen
harsh,5,,unpleasantly rough or jarring to the senses,the harsh cry of a blue jay,harsh cognac,the harsh white light makes you screw up your eyes,harsh irritating smoke filled the hallway
hasty,5,overhasty,done with very great haste and without due deliberation,hasty marriage seldom proveth well- Shakespeare,hasty makeshifts take the place of planning- Arthur Geddes,rejected what was regarded as an overhasty plan for reconversion,wondered whether they had been rather precipitate in deposing the king
haunted,7,,having or showing excessive or compulsive concern with something,became more and more haunted by the stupid riddle,was absolutely obsessed with the girl,got no help from his wife who was preoccupied with the children,he was taken up in worry for the old woman
headed,6,,having a head of a specified kind or anything that serves as a head,often used in combination,headed bolts,three-headed Cerberus,a cool-headed fighter pilot
healthful,9,,conducive to good health of body or mind,a healthful climate,a healthful environment,healthful nutrition,healthful sleep
healthy,7,,exercising or showing good judgment,healthy scepticism,a healthy fear of rattlesnakes,the healthy attitude of French laws,healthy relations between labor and management
healthy,7,,promoting health,healthful,a healthy diet,clean healthy air,plenty of healthy sleep
heart-whole,11,,with unconditional and enthusiastic devotion,heart-whole friendship,gave wholehearted support to her candidacy,wholehearted commitment,demonstrated his whole-souled allegiance
hearty,6,,providing abundant nourishment,a hearty meal,good solid food,ate a substantial breakfast,four square meals a day
heavy,5,,(of sleep) deep and complete,a heavy sleep,fell into a profound sleep,a sound sleeper,deep wakeless sleep
heavy,5,,marked by great psychological weight,weighted down especially with sadness or troubles or weariness,a heavy heart,a heavy schedule,heavy news
heavy,5,,unusually great in degree or quantity or number,heavy taxes,a heavy fine,heavy casualties,heavy losses
heavy,5,,slow and laborious because of weight,the heavy tread of tired troops,moved with a lumbering sag-bellied trot,ponderous prehistoric beasts,a ponderous yawn
heavy,5,,of the military or industry,using (or being) the heaviest and most powerful armaments or weapons or equipment,heavy artillery,heavy infantry,a heavy cruiser
heedful,7,,taking heed,giving close and thoughtful attention,heedful of the warnings,so heedful a writer,heedful of what they were doing
het up(p),9,,,worked up emotionally by anger or excitement,was terribly het up over the killing of the eagle,got really het up over the new taxes,he was suddenly het up about racing cars
hideous,7,,grossly offensive to decency or morality,causing horror,subjected to outrageous cruelty,a hideous pattern of injustice,horrific conditions in the mining industry
high,4,,(literal meaning) being at or having a relatively great or specific elevation or upward extension (sometimes used in combinations like `knee-high'),a high mountain,high ceilings,high buildings,a high forehead
high,4,,greater than normal in degree or intensity or amount,a high temperature,a high price,the high point of his career,high risks
high-fidelity,13,hi-fi,characterized by minimal distortion in sound reproductiona hi-fi system,,,,
high-octane,11,,vigorously energetic or forceful,a high-octane sales manager,a high-octane marketing plan,high-powered executives,a high-voltage theatrical entrepreneur
historic,8,,belonging to the past,of what is important or famous in the past,historic victories,historical (or historic) times,a historical character
histrionic,10,,characteristic of acting or a stage performance,often affected,histrionic gestures,an attitude of melodramatic despair,a theatrical pose
hoggish,7,,resembling swine,coarsely gluttonous or greedy,piggish table manners,the piggy fat-cheeked little boy and his porcine pot-bellied father,swinish slavering over food
hollow,6,,not solid,having a space or gap or cavity,a hollow wall,a hollow tree,hollow cheeks
honorable,9,,worthy of being honored,entitled to honor and respect,an honorable man,led an honorable life,honorable service to his country
horned,6,,having a horn or horns or hornlike parts or horns of a particular kind,horned viper,great horned owl,the unicorn--a mythical horned beast,long-horned cattle
hostile,7,,,unsolicited and resisted by the management of the target company (used of attempts to buy or take control of a business),hostile takeover,hostile tender offer,hostile bid
hostile,7,,very unfavorable to life or growth,a hostile climate,an uncongenial atmosphere,an uncongenial soil,the unfriendly environment at high altitudes
hot,3,,used of physical heat,having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning,hot stove,hot water,a hot August day
hot,3,,extended meanings,especially of psychological heat,marked by intensity or vehemence especially of passion or enthusiasm,a hot temper,a hot topic
hot,3,,producing a burning sensation on the taste nerves,hot salsa,jalapeno peppers are very hot,a spicy sauce,I like my chili extra spicy
hot,3,,characterized by violent and forceful activity or movement,very intense,the fighting became hot and heavy,a hot engagement,a raging battle
hotheaded,9,,,characterized by undue haste and lack of thought or deliberation,a hotheaded decision,liable to such impulsive acts as hugging strangers,an impetuous display of spending and gambling
huffy,5,,,roused to anger,stayed huffy a good while- Mark Twain,she gets mad when you wake her up so early,mad at his friend
huge,4,immense|vast|,unusually great in size or amount or degree or especially extent or scope,huge government spending,huge country estates,huge popular demand for higher education,a huge wave
human,5,,having human form or attributes as opposed to those of animals or divine beings,human beings,the human body,human kindness,human frailty
human-centered,14,,,,r 08879115 n 0204 | marked by humanistic values and devotion to human welfare,a humane physician,released the prisoner for humanitarian reasons
humble,6,,low or inferior in station or quality,a humble cottage,a lowly parish priest,a modest man of the people,small beginnings
hushed,6,,in a softened tone,hushed voices,muted trumpets,a subdued whisper,a quiet reprimand
hygroscopic,11,,absorbing moisture (as from the air),,,,
hypnotic,8,,attracting and holding interest as if by a spell,read the bedtime story in a hypnotic voice,she had a warm mesmeric charm,the sheer force of his presence was mesmerizing,a spellbinding description of life in ancient Rome
ideal,5,,constituting or existing only in the form of an idea or mental image or conception,,,,
identical,9,,being the exact same one,not any other:,this is the identical room we stayed in before,the themes of his stories are one and the same,saw the selfsame quotation in two newspapers
identical,9,,exactly alike,incapable of being perceived as different,rows of identical houses,cars identical except for their license plates,they wore indistinguishable hats
ideological,11,ideologic,concerned with or suggestive of ideas,the drama's symbolism was very ideological,,,
idle,4,,not in action or at work,an idle laborer,idle drifters,the idle rich,an idle mind
ignorant,8,nescient,uneducated in general,lacking knowledge or sophistication,an ignorant man,nescient of contemporary literature,an unlearned group incapable of understanding complex issues
ill,3,,presaging ill fortune,ill omens,ill predictions,my words with inauspicious thunderings shook heaven- P.B.Shelley,a dead and ominous silence prevailed
illegitimate,12,,contrary to or forbidden by law,an illegitimate seizure of power,illicit trade,an outlaw strike,unlawful measures
ill-timed,9,,badly timed,an ill-timed intervention,you think my intrusion unseasonable,an untimely remark,it was the wrong moment for a joke
illuminated,11,,provided with artificial light,illuminated advertising,looked up at the lighted windows,a brightly lit room,a well-lighted stairwell
imaginative,11,,(used of persons or artifacts) marked by independence and creativity in thought or action,an imaginative use of material,the invention of the knitting frame by another ingenious English clergyman- Lewis Mumford,an ingenious device,had an inventive turn of mind
immaculate,10,,completely neat and clean,the apartment was immaculate,in her immaculate white uniform,a spick-and-span kitchen,their spic red-visored caps
immediate,9,,performed with little or no delay,an immediate reply to my letter,a prompt reply,was quick to respond,a straightaway denial
impalpable,10,,imperceptible to the senses or the mind,an impalpable cloud,impalpable shadows,impalpable distinctions,as impalpable as a dream
impassive,9,,having or revealing little emotion or sensibility,not easily aroused or excited,her impassive remoteness,"he remained impassive, showing neither interest in nor concern for our plight- Nordhoff & Hall",a silent stolid creature who took it all as a matter of course-Virginia Woolf
imperfect,9,,not perfect,defective or inadequate,had only an imperfect understanding of his responsibilities,imperfect mortals,drainage here is imperfect
imperial,8,,belonging to or befitting a supreme ruler,golden age of imperial splendor,purple tyrant,regal attire,treated with royal acclaim
impermanent,11,,not permanent,not lasting,politics is an impermanent factor of life- James Thurber,impermanent palm cottages,a temperary arrangement
imperturbable,13,,not easily perturbed or excited or upset,marked by extreme calm and composure,"hitherto imperturbable, he now showed signs of alarm",an imperturbable self-possession,unflappable in a crisis
implicit,8,unquestioning,being without doubt or reserve,,,,
implicit,8,,implied though not directly expressed,inherent in the nature of something,an implicit agreement not to raise the subject,there was implicit criticism in his voice,anger was implicit in the argument
impractical,11,,not practical,not workable or not given to practical matters,refloating the ship proved impractical because of the expense,he is intelligent but too impractical for commercial work,an impractical solution
impregnable,11,,immune to attack,incapable of being tampered with,an impregnable fortress,fortifications that made the frontier inviolable,a secure telephone connection
inaccessible,12,unaccessible,capable of being reached only with great difficulty or not at all,,,,
inaccurate,10,,not accuratethe thermometer is inaccurate,,,,
inactive,8,,lacking activity,lying idle or unused,an inactive mine,inactive accounts,inactive machinery
inadequate,10,,of insufficient quantity to meet a need,an inadequate income,a poor salary,money is short,on short rations
inarticulate,12,,without or deprived of the use of speech or words,inarticulate beasts,remained stupidly inarticulate and saying something noncommittal,inarticulate with rage,an inarticulate cry
inaugural,9,,serving to set in motion,the magazine's inaugural issue,the initiative phase in the negotiations,an initiatory step toward a treaty,his first (or maiden) speech in Congress
incidental,10,,(sometimes followed by `to') minor or casual or subordinate in significance or nature or occurring as a chance concomitant or consequence,incidental expenses,the road will bring other incidental advantages,extra duties incidental to the job,labor problems incidental to a rapid expansion
incipient,9,,only partly in existence,imperfectly formed,incipient civil disorder,an incipient tumor,a vague inchoate idea
inclusive,9,,including much or everything,and especially including stated limits,an inclusive art form,an inclusive fee,his concept of history is modern and inclusive
incomparable,12,,such that comparison is impossible,unsuitable for comparison or lacking features that can be compared,an incomparable week of rest and pleasure,the computer proceeds with its incomparable logic and efficiency,this report is incomparable with the earlier ones because of different breakdowns of the data
incomplete,10,,not complete or total,not completed,an incomplete account of his life,political consequences of incomplete military success,an incomplete forward pass
inconclusive,12,,not conclusive,not putting an end to doubt or question,an inconclusive reply,inconclusive evidence,the inconclusive committee vote
inconstant,10,,likely to change frequently often without apparent or cogent reason,variable,inconstant affections,an inconstant lover,swear not by...the inconstant moon- Shakespeare
incorrect,9,,not correct,not in conformity with fact or truth,an incorrect calculation,the report in the paper is wrong,your information is wrong
indecent,8,,not in keeping with accepted standards of what is right or proper in polite society,was buried with indecent haste,indecorous behavior,language unbecoming to a lady,unseemly to use profanity
indefinable,11,,defying expression or description,indefinable yearnings,indescribable beauty,ineffable ecstasy,inexpressible anguish
indeterminate,13,undetermined,not precisely determined or established,not fixed or known in advance,of indeterminate age,a zillion is a large indeterminate number,an indeterminate point of law
indifferent,11,,being neither good nor bad,an indifferent performance,a gifted painter but an indifferent actor,her work at the office is passable,a so-so golfer
indignant,9,,angered at something unjust or wrong,an indignant denial,incensed at the judges' unfairness,a look of outraged disbelief,umbrageous at the loss of their territory
indirect,8,,extended senses,not direct in manner or language or behavior or action,making indirect but legitimate inquiries,an indirect insult,doubtless they had some indirect purpose in mind
inert,5,,,having only a limited ability to react chemically,chemically inactive,inert matter,an indifferent chemical in a reaction
infallible,10,,incapable of failure or error,an infallible antidote,an infallible memory,the Catholic Church considers the Pope infallible,no doctor is infallible
infelicitous,12,,not appropriate in application,defective,an infelicitous remark,infelicitous phrasing,the infelicitous typesetting was due to illegible copy
infinite,8,,total and all-embracing,,,,
iniquitous,10,,characterized by iniquity,wicked because it is believed to be a sin,iniquitous deeds,he said it was sinful to wear lipstick,ungodly acts
insomniac,9,,experiencing or accompanied by sleeplessness,insomniac old people,insomniac nights,lay sleepless all night,"twenty watchful, weary, tedious nights- Shakespeare"
integral,8,,constituting the undiminished entirety,lacking nothing essential especially not damaged,a local motion keepeth bodies integral- Bacon,was able to keep the collection entire during his lifetime,fought to keep the union intact
intellectual,12,,appealing to or using the intellect,satire is an intellectual weapon,intellectual workers engaged in creative literary or artistic or scientific labor,has tremendous intellectual sympathy for oppressed people,coldly intellectual
intense,7,,possessing or displaying a distinctive feature to a heightened degree,intense heat,intense anxiety,intense desire,intense emotion
intensive,9,,characterized by a high degree or intensity,often used as a combining form,the questioning was intensive,intensive care,research-intensive
interested,10,,having or showing interest,especially curiosity or fascination or concern,an interested audience,interested in sports,was interested to hear about her family
intermediate,12,,lying between two extremes in time or space or state,going from sitting to standing without intermediate pushes with the hands,intermediate stages in a process,intermediate stops on the route,an intermediate range plane
interpreted,11,,understood in a certain way,made sense of,a word taken literally,a smile taken as consent,an open door interpreted as an invitation
interstate,10,,involving and relating to the mutual relations of states especially of the United States,Interstate Highway Commission,interstate highways,Interstate Commerce Commission,interstate commerce
intractable,11,,not tractable,difficult to manage or mold,an intractable disposition,intractable pain,the most intractable issue of our era
invisible,9,,impossible or nearly impossible to see,imperceptible by the eye,the invisible man,invisible rays,an invisible hinge
involuntary,11,,,controlled by the autonomic nervous system,without conscious control,involuntary muscles,gave an involuntary start
involuntary,11,nonvoluntary,not subject to the control of the will,involuntary manslaughter,involuntary servitude,an involuntary shudder,It (becoming a hero) was involuntary. They sank my boat- John F.Kennedy
involved,8,,connected by participation or association or use,"we accomplished nothing, simply because of the large number of people involved",the problems involved,the involved muscles,I don't want to get involved
jammed,6,,,extremely crowed or filled to capacity,a suitcase jammed with dirty clothes,stands jam-packed with fans,a packed theater
juicy,5,,having strong sexual appeal,juicy barmaids,a red-hot mama,a voluptuous woman,a toothsome blonde in a tight dress
junior-grade,12,,inferior in rank or status,the junior faculty,a lowly corporal,petty officialdom,a subordinate functionary
just,4,,used especially of what is legally or ethically right or proper or fitting,a just and lasting peace- A.Lincoln,a kind and just man,a just reward,his just inheritance
jutting,7,projected,extending out above or beyond a surface or boundary,the jutting limb of a tree,massive projected buttresses,his protruding ribs,a pile of boards sticking over the end of his truck
kind,4,,having or showing a tender and considerate and helpful nature,used especially of persons and their behavior,kind to sick patients,a kind master,kind words showing understanding and sympathy
knowing,7,,highly educated,having extensive information or understanding,knowing instructors,a knowledgeable critic,a knowledgeable audience
